Nodo,Tiempo,Precio_Sombra
1,1,2500.0
1,2,2500.0
1,3,3000.0
1,4,3499.9999999999995
1,5,0.0
1,6,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,3500.0000000000005
2,5,0.0
2,6,0.0
3,1,2500.0000000000005
3,2,0.0
3,3,3500.0
3,4,0.0
3,5,0.0
3,6,0.0
4,1,0.0
4,2,2500.000000000001
4,3,3000.000000000001
4,4,3500.000000000001
4,5,0.0
4,6,2500.000000000001
5,1,0.0
5,2,2500.000000000001
5,3,3000.0
5,4,3500.0000000000005
5,5,0.0
5,6,0.0
6,1,0.0
6,2,0.0
6,3,0.0
6,4,3500.0
6,5,2500.000000000001
6,6,2500.000000000001
7,1,2500.000000000001
7,2,0.0
7,3,0.0
7,4,3500.000000000001
7,5,0.0
7,6,2500.000000000001
8,1,2500.000000000001
8,2,0.0
8,3,3000.0
8,4,0.0
8,5,0.0
8,6,0.0
9,1,0.0
9,2,0.0
9,3,0.0
9,4,3500.0
9,5,0.0
9,6,0.0
