Nodo,Tiempo,Precio_Sombra
1,1,2500.0
1,2,2500.0
1,3,2777.7777777777783
1,4,3000.0
1,5,2500.0
1,6,2500.0
2,1,2500.000000000001
2,2,2500.000000000001
2,3,3000.0000000000005
2,4,3000.0000000000005
2,5,3000.0000000000005
2,6,2500.000000000001
3,1,2500.0000000000005
3,2,2500.0000000000005
3,3,2777.7777777777783
3,4,3000.0000000000005
3,5,2500.0000000000005
3,6,2500.0000000000005
4,1,2500.000000000001
4,2,2500.000000000001
4,3,3000.000000000001
4,4,3000.000000000001
4,5,3000.000000000001
4,6,2500.000000000001
5,1,2500.000000000001
5,2,2500.000000000001
5,3,3000.0
5,4,3000.0
5,5,3000.0
5,6,2500.000000000001
6,1,2500.000000000001
6,2,2500.000000000001
6,3,2777.7777777777787
6,4,3000.000000000001
6,5,2500.000000000001
6,6,2500.0000000000014
7,1,2500.000000000001
7,2,2500.000000000001
7,3,3000.0000000000005
7,4,3000.000000000001
7,5,3000.0000000000005
7,6,2500.000000000001
8,1,2500.000000000001
8,2,2500.000000000001
8,3,3000.0
8,4,3000.0
8,5,3000.0
8,6,2500.000000000001
9,1,2500.000000000001
9,2,2500.000000000001
9,3,2777.7777777777787
9,4,3000.000000000001
9,5,2500.000000000001
9,6,2500.0000000000014
